Name,Code,Factoid ID,Location,Pleiades,Geonames,Source,Source loc,Description in PBW,Releven formula,RELEVEN location type,Date,Dating authority,Outside source,Notes
Esaias,102,229812,Constantinople,https://pleiades.stoa.org/places/520998,,Lazaros of Galesion,580B,Constantinople: was sent with <Ioannikios 105> to Constantinople,Esaias 102: Constantinople: Specifies presence ,Specifies presence,,,,
Esaias,102,229813,Constantinople,https://pleiades.stoa.org/places/520998,,Lazaros of Galesion,580E,Constantinople: fininished his business and left Constantinople,Esaias 102: Constantinople: Specifies presence ,Specifies presence,,,,
Anonymus,560,229834,Constantinople,https://pleiades.stoa.org/places/520998,,Lazaros of Galesion,587E,Constantinople: arrived at the monastery of <Lazaros 104> from Constantinople,Anonymus 560: Constantinople: Does not specify presence,Does not specify presence,,,,
Argyros,10101,396302,Constantinople,https://pleiades.stoa.org/places/520998,,Lupus protospatharius,58.37,Constantinople: went to Constantinople,Argyros 10101: Constantinople: Specifies presence ,Specifies presence,,,,
Argyros,10102,396275,Constantinople,https://pleiades.stoa.org/places/520998,,Lupus protospatharius,58.5,Constantinople: died in Constantinople,Argyros 10102: Constantinople: Specifies presence ,Specifies presence,,,,
Romuald,10102,396313,Constantinople,https://pleiades.stoa.org/places/520998,,Lupus protospatharius,59.17-18,Constantinople: was sent in chains to Constantinople,Romuald 10102: Constantinople: Specifies presence ,Specifies presence,,,,
Petros,10101,396314,Constantinople,https://pleiades.stoa.org/places/520998,,Lupus protospatharius,59.17-18,Constantinople: was sent in chains to Constantinople,Petros 10101: Constantinople: Specifies presence ,Specifies presence,,,,
Isaakios,1,440917,Constantinople,https://pleiades.stoa.org/places/520998,,"Manasses, Chronicle",6293,Constantinople: made his entry into Constantinople,Isaakios 1: Constantinople: Specifies presence ,Specifies presence,,,,
Nikephoros,3,441006,Constantinople,https://pleiades.stoa.org/places/520998,,"Manasses, Chronicle",6565,Constantinople: reached Constantinople,Nikephoros 3: Constantinople: Specifies presence ,Specifies presence,,,,
Ioannes,289,230725,Constantinople,https://pleiades.stoa.org/places/520998,,Mauropous: Letters,137.14,Constantinople: informed an unidentified correspondent (<Anonymus 476>) of his imminent departure from Constantinople,Ioannes 289: Constantinople: Specifies presence ,Specifies presence,,,,
Ioannes,289,230528,Constantinople: Blachernai,,,Mauropous: Orations,37,Constantinople: Blachernai: wrote an epigram about the bathhouse at  Blachernai,Ioannes 289: Constantinople Blachernai: Specifies presence ,Specifies presence,,,,
Konstantinos,9,230541,Constantinople,https://pleiades.stoa.org/places/520998,,Mauropous: Orations,185.34,Constantinople: organized the defences of Constantinople,Konstantinos 9: Constantinople: Specifies presence ,Specifies presence,,,,
Leon,61,230542,Constantinople: Blachernai,,,Mauropous: Orations,186.35,Constantinople: Blachernai: approached the walls by the palace at  Blachernai,Leon 61: Constantinople: Blachernai: Specifies presence near,Specifies presence near,,,,
Sergios,111,445023,Constantinople,https://pleiades.stoa.org/places/520998,,"Michel, Amalfi",35.13,Constantinople: was an abbot in Constantinople,Sergios 111: Constantinople: Specifies presence ,Specifies presence,,,,
Nikolaos,257,444804,Andida,https://pleiades.stoa.org/places/40039,,Nicolas d'Andida,"207, title",Andida: was bishop of Andida,Nikolaos 257: Andida: Specifies presence  (Dignity),Dignity,,,,
Ioannes,2,435770,Constantinople: Philopation (small),,,"Niketas Choniates, Historia",10.48,Constantinople: Philopation (small): was to be killed at night as he camped at the small Philopation,Ioannes 2: Constantinople: Philopation (small): Specifies presence ,Specifies presence,,,,
Ioannes,2,435786,Maiander (river),,,"Niketas Choniates, Historia",12.1,Maiander (river): after his accession made an attack on the valley of the Maiander,Ioannes 2: Maiander (river):  Specifies presence ,Specifies presence,,,,
Ioannes,2,435799,Beroe (Thrace),,,"Niketas Choniates, Historia",14.62,Beroe (Thrace): attacked and defeated large Pecheneg forces near Beroe,Ioannes 2: Beroe (Thrace): Specifies presence near,Specifies presence near,,,,
Almouzes,17001,435831,Constantinople,https://pleiades.stoa.org/places/520998,,"Niketas Choniates, Historia",17.43,Constantinople: was welcomed as a Hungarian pretender in Constantinople,Almouzes 17001: Constantinople: Specifies presence ,Specifies presence,,,,
