Name,Code,Factoid ID,Location,Pleiades,Geonames,Source,Source loc,Description in PBW,Releven formula,RELEVEN location type,Date,Dating authority,Outside source,Notes
Tangripermes,15001,435351,Ephesos: basilica of Hagios Ioannes,,,Anna Komnene,335.26-27,Ephesos: basilica of Hagios Ioannes: ruled in the city where there was the old basilica of St Ioannes,Tangripermes 15001: Ephesos: Specifes presence,Specifies presence,,,,
Amerimnes,15001,372908,Cairo,,,Anna Komnene,342.46-47,Cairo: lived in Cairo,Amerimnes 15001: Cairo: Specifies presence,Specifies presence,,,,
Raymond,61,435400,"Baniyas (Valania, near Laodikeia)",https://pleiades.stoa.org/places/668206,,Anna Komnene,343.85,"Baniyas (Valania, near Laodikeia): was told by <Alexios 1> to negotiate with <Eumathios 102> over Baniyas (Valania, near Laodikeia)",Does not specify presence ,Does not specify presence,,,,
Eumathios,102,435401,"Baniyas (Valania, near Laodikeia)",https://pleiades.stoa.org/places/668206,,Anna Komnene,343.85,"Baniyas (Valania, near Laodikeia): was to send his men to take over Baniyas (Valania, near Laodikeia)",Does not specify presence,Does not specify presence,,,,
Alexios,1,435402,"Baniyas (Valania, near Laodikeia)",https://pleiades.stoa.org/places/668206,,Anna Komnene,343.85,"Baniyas (Valania, near Laodikeia): told <Raymond 61> to negotiate with <Eumathios 102> over Baniyas (Valania, near Laodikeia)",Does not specify presence,Does not specify presence,,,,
Albert,26102,372999,Constantinople,https://pleiades.stoa.org/places/520998,,Anna Komnene,346.49,Constantinople: arrived with Norman (?) troops at Constantinople,Albert 26102: Constantinople: Specifies presence,Specifies presence,,,,
Guy,26101,435435,Constantinople,https://pleiades.stoa.org/places/520998,,Anna Komnene,346.49,Constantinople: arrived with Norman (?) troops at Constantinople ,Guy 26101: Constantinople: Specifies presence however,Specifies presence,,,,
Landulf,20101,435523,Knidos,,,Anna Komnene,351.28,Knidos: Sailed to Knidos,Landulf 20101: Knidos: Specifies presence ,Specifies presence,,,,
Landulf,20101,435534,Seutlos (near Rhodes),,,Anna Komnene,352.58,"Seutlos (near Rhodes): after the battle, put into the small island of Seutlos",Landulf 20101: Seutlos (near Rhodes): Specifies presence,Specifies presence,,,,
Tatikios,61,435545,Syke (Cilicia),,,Anna Komnene,352.89,Syke (Cilicia): saved his part of the fleet from destruction by a storm near Syke,Tatikios 61: Syke (Cilicia): Specifies presence near ,Specifies presence near,,,,
Kantakouzenos,101,435583,Argyrokastron,,,Anna Komnene,354.61,"Argyrokastron: during the siege of Laodikeia, captured Argyrokastron",Kantakouzenos 101: Argyrokastron: Specifies presence,Specifies presence,,,,
Kantakouzenos,101,435584,Marchapin,,,Anna Komnene,354.61,"Marchapin: during the siege of Laodikeia, captured Marchapin",Kantakouzenos 101: Marchapin: Specifies presence,Specifies presence,,,,
Bohemond,61,435598,"Soudi (St Symeon), port of Antioch",,,Anna Komnene,356.24,"Soudi (St Symeon), port of Antioch: Left Antioch in a coffin from Soudi","Bohemond 61: Soudi (St Symeon), port of Antioch: Specifies presence",Specifies presence,,,,
Bohemond,61,435616,Genoa,,,Anna Komnene,359.21,"Genoa: In order to gather forces against <Alexios 1>, he visited many places, including Genoa",Bohemond 61: Genoa: Specifies presence at Genoa,Specifies presence,,,,
Alexios,1,435619,Genoa,,,Anna Komnene,359.21,"Genoa: wrote letters to places where <Bohemond 61> had gone to make propaganda against him, especially Genoa",Alexios 1: Genoa:: Does not specfy presence,Does not specify presence,,,,
Tancred,61,435638,Saron (river in Cilicia),,,Anna Komnene,363.27,"Saron (river in Cilicia): to capture Mopsuestia, sailed up the Saron [in fact the Pyramos (now the Ceyhan)]",Tancred 61: Saron (river in Cilicia): Specifies presence,Specifies presence,,,,
Alexios,1,435667,Slopimos (Macedonia),,,Anna Komnene,369.34,"Slopimos (Macedonia): in preparing to fight <Bohemond 61>, he went from Thessalonike to Slopimos",Alexios 1: Slopimos (Macedonia): Specifies presence,Specifies presence,"J 1105, September",Anna Komnene,,September of the 14th indiction
Michael,194,443379,Constantinople: prison of Anemas,,,Anna Komnene,376.74,"Constantinople: prison of Anemas: As the first person to spend a long time there, he was responsible for the name of the prison of Anemas",Michael 194: Prison of Anemas: Constantinople: Specifies presence ,Specifies presence,,,,
Anonymus,872,443380,Tebenna,,,Anna Komnene,376.83,Tebenna: was imprisoned in Tebenna,Anonymus 872: Tebenna: Specifies presence ,Specifies presence,J 1104,Anna Komnene,,The 12th Indiction 
Dabatenos,101,443384,Tebenna,,,Anna Komnene,376.83,Tebenna: was imprisoned by <Gregorios 106> at Tebenna,Dabatenos 101: Tebenna: Specifies presence ,Specifies presence,J 1104,Anna Komnene,,The 12th Indiction 
Gregorios,106,443401,Constantinople: prison of Anemas,,,Anna Komnene,377.26,Constantinople: prison of Anemas: was shut up in the prison of Anemas,Gregorios 106: Prison of Anemas: Constantinople: Specifies presence,Specifies presence,J 1106,Anna Komnene,,The 14th Indiction 
Isaakios,101,443459,Jason's Hill (lookout near Avlon),,,Anna Komnene,380.34,Jason's Hill (lookout near Avlon): kept a careful watch at Jason's Hill,Isaakios 101: Jason's Hill (lookout near Avlon): Specifies presence,Specifies presence,J 1106,Anna Komnene,,
Anonymus,875,443460,Glossa (headland opposite Kerkyra),,,Anna Komnene,381.45,Glossa (headland opposite Kerkyra): kept watch with one ship near cape Glossa,Anonymus 875: Glossa (headland opposite Kerkyra): Specifies presence ,Specifies presence,J 1106,Anna Komnene,,
Alexios,1,443469,Geranion,,,Anna Komnene,384.12,"Geranion: went to the imperial tent, erected outside the city at Geranion",Alexios 1: Geranion: Specifies presence near  ,Specifies presence near,"J 1107, November",Anna Komnene,,November of the 1st indiction
Eirene,61,443483,Psyllos (Thrace),,,Anna Komnene,385.35,Psyllos (Thrace): frustrated a Bulgarian plot by staying with <Alexios 1> as far as Psyllos,Eirene 61: Psyllos (Thrace): Specifies presence ,Specifies presence,J 1107,Anna Komnene,,Camped outside city 
Bohemond,61,443544,Dyrrachion: east gate (with the bronze horseman),,,Anna Komnene,388.43-44,Dyrrachion: east gate (with the bronze horseman): camped opposite the east gate,Bohemond 61: Dyrrachion: Specifies presence near,Specifies presence near,J 1107,Anna Komnene,,
Bohemond,61,443546,Petroula (near Dyrrachion),,,Anna Komnene,388.57,Petroula (near Dyrrachion): captured Petroula,Bohemond 61: Petroula (near Dyrrachion): Specifies presence ,Specifies presence,J 1107 ,Anna Komnene,,
Bohemond,61,443547,Mylos (near the river Diabolis),,,Anna Komnene,388.57,Mylos (near the river Diabolis): captured Mylos,Bohemond 61: Mylos (near the river Diabolis): Specifies presence ,Specifies presence,,,,
Marinos,101,443559,Naples (Italy),,,Anna Komnene,395.59,Naples (Italy): was from Naples,Marinos 101: Naples (Italy): Specifies presence ,Specifies presence,,,,
Alexandros,101,443594,Petroula (near Dyrrachion),,,Anna Komnene,397.45,Petroula (near Dyrrachion): was put in command of Petroula,Alexandros 101: Petroula (near Dyrrachion):Specifies presence ,Specifies presence,,,,
Eustathios,102,443598,"Arbanon, Arbana (mountains in Albania)",,,Anna Komnene,397.48-49,"Arbanon, Arbana (mountains in Albania): was put in command of the passes of Arbana","Eustathios 102: Arbanon, Arbana (mountains in Albania): Specifies presence ",Specifies presence,,,,
Kantakouzenos,101,443639,Mylos (near the river Diabolis),,,Anna Komnene,399.98,Mylos (near the river Diabolis): destroyed river craft near Mylos,Kantakouzenos 101: Mylos (near the river Diabolis): Specifies presence,Specifies presence,,,,
Kantakouzenos,101,443640,Mylos (near the river Diabolis),,,Anna Komnene,401.61,Mylos (near the river Diabolis): won a considerable battle near Mylos,Kantakouzenos 101: Mylos (near the river Diabolis): Specifies presence near,Specifies presence near,,,,
Kantakouzenos,101,443644,Timoros (near Dyrrachion),,,Anna Komnene,402.97,Timoros (near Dyrrachion): went and camped at Timoros (near Dyrrachion),Kantakouzenos 101: Timoros (near Dyrrachion): Specifies presence ,Specifies presence,,,,
Konstantinos,20110,443663,Petroula (near Dyrrachion),,,Anna Komnene,403.28,Petroula (near Dyrrachion): refused a command at Petroula,Konstantinos 20110: Petroula (near Dyrrachion): Specifies presence ,Specifies presence,,,,
Eumathios,102,443774,Maiander (river),,,Anna Komnene,427.9,Maiander (river): drowned some of the troops of <Asan 102> in the Maiander,Eumathios 102: Maiander (river): Does not specify presence ,Does not specify presence,,,,
Asan,102,443772,Kelbianon (area in Lydia),,,Anna Komnene,427.90,Kelbianon (area in Lydia): sent his men plundering from Philadelphia to Ke(l)(r)bianon,Asan 102:Kelbianon (area in Lydia):  Does not specify presence,Does not specify presence,,,,
Asan,102,443771,Nymphaion (near Smyrna),,,Anna Komnene,427.91,Nymphaion (near Smyrna): sent his men plundering from Philadelphia to Nymphaion,Asan 102 Nymphaion (near Smyrna):: Does not specify presence,Does not specify presence,,,,
Asan,102,443769,Chliara (town in Lydia),,,Anna Komnene,427.92,Chliara (town in Lydia): sent his men plundering from Philadelphia to Chliara,Asan 102: Nymphaion (near Smyrna): Does not specify presence,Does not specify presence,,,,
Raymond,15001,432769,Barcelona,https://pleiades.stoa.org/places/246343,,Anna Komnene,43.74,Barcelona: was son of the count of Barcelona,Raymond 15001: Barcelona: Specifies presence (Dignity),Dignity,,,,
Monastras,15001,443820,Chliara (town in Lydia),,,Anna Komnene,435.41,Chliara (town in Lydia): was in command of Chliara,Monastras 15001: Chliara (town in Lydia): Specifies presence  ,Specifies presence,,,,
Alexios,1,443822,"Koiloi (Koila, Thracian Chersonesos, near Sestos and Abydos)",,,Anna Komnene,435.48,"Koiloi (Koila, Thracian Chersonesos, near Sestos and Abydos): stationed a naval force at Koiloi to patrol the straits","Alexios 1: Koiloi (Koila, Thracian Chersonesos, near Sestos and Abydos): Does not specify presence",Does not specify presence,,,,
Monolykos,101,443894,Chliara (town in Lydia),,,Anna Komnene,444.23,Chliara (town in Lydia): in his raid reached Chliara,Monolykos 101: Chliara (town in Lydia): Specfies presence ,Specifies presence,,,,
Muhammad,101,443904,Aorata,,,Anna Komnene,444.29,Aorata: He was defeated but then regrouped and won a battle at Aorata,Muhammad 101: Aorata: Specifies presence,Specifies presence,,,,
Kontogmes,101,443905,Aorata,,,Anna Komnene,444.29,"Aorata: He was defeated, but then regrouped and won a battle at Aorata",Kontogmes 101: Aorata: Spceifies presence,Specifies presence,,,,
Eustathios,102,443907,Aorata,,,Anna Komnene,445.41,"Aorata: won a battle, but was then defeated and captured at Aorata",Eustathios 102: Aorata: Specifies presence ,Specifies presence,,,,
Alexios,1,443923,Basilika (valleys high on Mt Olympos in Bithynia),,,Anna Komnene,446.73,"Basilika (valleys high on Mt Olympos in Bithynia): overtook a Turkish army, taking a short cut via the Basilika",Alexios 1: Basilika (valleys high on Mt Olympos in Bithynia): Specifies presence,Specifies presence,,,,
Alexios,1,443924,"Alethina (near Mt Olympos, Bithynia)",,,Anna Komnene,446.75,"Alethina (near Mt Olympos, Bithynia): descended Mt. Olympos to Alethina","Alexios 1 : Alethina (near Mt Olympos, Bithynia): Specifies presence ",Specifies presence,,,,
Monastras,15001,443917,Akrokos (Phrygia),https://pleiades.stoa.org/places/609296,,Anna Komnene,446.76,Akrokos (Phrygia): was stationed in the vanguard at the battle of Akrokos,Monastras 15001:Akrokos (Phrygia): Specfies presence ,Specifies presence,,,,
Konstantinos,20110,443918,Akrokos (Phrygia),https://pleiades.stoa.org/places/609296,,Anna Komnene,446.76,Akrokos (Phrygia): was stationed in the vanguard at the battle of Akrokos,Konstantinos 20110: Akrokos (Phrygia): Specfies presence ,Specifies presence,,,,
Tzipoureles,101,443919,Akrokos (Phrygia),https://pleiades.stoa.org/places/609296,,Anna Komnene,446.76,Akrokos (Phrygia): was stationed in the rearguard at the battle of Akrokos,Tzipoureles 101: Akrokos (Phrygia): Specfies presence ,Specifies presence,,,,
Ampelas,101,443920,Akrokos (Phrygia),https://pleiades.stoa.org/places/609296,,Anna Komnene,446.76,Akrokos (Phrygia): was stationed in the rearguard at the battle of Akrokos,Ampelas 101: Akrokos (Phrygia): Specfies presence ,Specifies presence,,,,
Alexios,1,443921,Akrokos (Phrygia),https://pleiades.stoa.org/places/609296,,Anna Komnene,446.76,Akrokos (Phrygia): nearly wiped out a Turkish army at the battle of Akrokos,Alexios 1: Akrokos (Phrygia): Specfies presence ,Specifies presence,,,,
Alexios,1,443925,Tepeia (valley at Akrokos),,,Anna Komnene,446.79,Tepeia (valley at Akrokos): won the battle of Akrokos in the valley of Tepeia,Alexio 1: Tepeia (valley at Akrokos): Specfies presence ,Specifies presence,,,,
Eirene,61,443945,"Constantinople: Great Palace, Aristerion",,,Anna Komnene,449.57,"Constantinople: Great Palace, Aristerion: she received <Eustathios 102> late at night in the Aristerion, near her room","Eirene 61: Constantinople: Great Palace, Aristerion balcony: Specfies presence ",Specifies presence,,,,
Eustathios,102,443946,"Constantinople: Great Palace, Aristerion",,,Anna Komnene,449.57,"Constantinople: Great Palace, Aristerion: was received by <Eirene 61> late at night in the Aristerion, near her room","Eustathios 102: Constantinople: Great Palace, Aristerion baclony: Specfies presence ",Specifies presence,,,,
Alexios,1,443977,Vidyne (near Danube),,,Anna Komnene,458.49,"Vidyne (near Danube): To counter a Cuman invasion, he went to Vidyne",Alexios 1: Vidyne (near Danube): Specifies presence,Specifies presence,"J 1115, TAQ",Anna Komnene,,after the commencement of the 8th indiction -
Pholos,101,443998,"Constantinople: Great Palace, surrounding porticoes",,,Anna Komnene,459.81-82,"Constantinople: Great Palace, surrounding porticoes: was housed (imprisoned?) in the porticoes surrounding the Great Palace","Pholos 101: Constantinople: Great Palace, surrounding porticoes: Specifies presence",Specifies presence,,,,
Kouleon,15001,443999,"Constantinople: Great Palace, surrounding porticoes",,,Anna Komnene,459.81-82,"Constantinople: Great Palace, surrounding porticoes: was housed (imprisoned?) in the porticoes surrounding the Great Palace","Kouleon 15001: Constantinople: Great Palace, surrounding porticoes: Specifies presence",Specifies presence,,,,
Kousinos,101,444000,"Constantinople: Great Palace, surrounding porticoes",,,Anna Komnene,459.81-82,"Constantinople: Great Palace, surrounding porticoes: was housed (imprisoned?) in the porticoes surrounding the Great Palace","Kousinos 101: Constantinople: Great Palace, surrounding porticoes: Specifies presence ",Specifies presence,,,,
Alexios,1,443988,Alexiopolis (near Philippopolis),https://pleiades.stoa.org/places/216792,,Anna Komnene,459.95,"Alexiopolis (near Philippopolis): he founded it as a new town for converted Manichaeans, also known as Neokastron",Alexios 1: Alexiopolis (near Philippopolis): Does not specfy presence,Does not specify presence,,,,
Alexios,1,444012,Hagios Georgios (fortress on the Lake of Nicaea),,,Anna Komnene,462.41,"Hagios Georgios (fortress on the Lake of Nicaea): on the way from Lopadion to Nicaea and back, stopped at Hagios Georgios",Alexios 1: Hagios Georgios (fortress on the Lake of Nicaea): Specifies presence ,Specifies presence,,,,
Alexios,1,444014,Kellia (Bithynia),,,Anna Komnene,463.65,Kellia (Bithynia): won a victory over the Turks at Kellia,Alexios 1: Kellia (Bithynia): Does not specify presence ,Does not specify presence,,,,
Eirene,61,444041,Aer (Bithynia),,,Anna Komnene,463.77,Aer (Bithynia): was summoned from Prinkipo to Aer,Eirene 61: Aer (Bithynia): Specfies presence ,Specifies presence,,,,
Alexios,1,444039,Aer (Bithynia),,,Anna Komnene,463.79,Aer (Bithynia): sent for <Eirene 61> from Aer,Not a direct realtionship to a place ,Specifies presence,,,,
